PART_ID,Block number,Trial_no,Session type,Correctness,Target present,Reaction time,Target position
ggM20,0,1,Training,False,False,0.09773889499774668,"[-1, -1]"
ggM20,0,2,Training,False,False,0.6181451240045135,"[-1, -1]"
ggM20,0,3,Training,False,True,-1,"[2, 3]"
ggM20,0,4,Training,False,True,-1,"[0, 4]"
ggM20,0,5,Training,False,True,-1,"[1, 1]"
ggM20,0,6,Training,True,True,2.3866141979960958,"[0, 3]"
ggM20,0,7,Training,True,True,0.05954823300271528,"[0, 2]"
ggM20,0,8,Training,False,False,0.055500274000223726,"[-1, -1]"
ggM20,0,9,Training,False,False,0.05490545599604957,"[-1, -1]"
ggM20,0,10,Training,False,False,0.06173788200248964,"[-1, -1]"
ggM20,0,1,Experiment,True,True,0.15787830900080735,"[3, 1]"
ggM20,0,2,Experiment,False,False,0.23569641199719626,"[-1, -1]"
ggM20,0,3,Experiment,True,True,0.020072007006092463,"[4, 3]"
ggM20,0,4,Experiment,True,True,0.016810326000268105,"[1, 4]"
ggM20,0,5,Experiment,True,True,0.019302560001960956,"[4, 4]"
ggM20,0,6,Experiment,True,True,0.05736925899691414,"[4, 3]"
ggM20,0,7,Experiment,True,True,0.05841164100274909,"[2, 4]"
ggM20,0,8,Experiment,True,True,0.05724382799962768,"[3, 4]"
ggM20,0,9,Experiment,True,True,0.08227383199846372,"[4, 3]"
ggM20,0,10,Experiment,True,True,0.06825935799861327,"[0, 2]"
ggM20,0,11,Experiment,True,True,0.05756975300027989,"[4, 4]"
ggM20,0,12,Experiment,True,True,0.059573451995674986,"[1, 0]"
ggM20,0,13,Experiment,True,True,0.05655343000398716,"[2, 2]"
ggM20,0,14,Experiment,True,True,0.06905375299538719,"[0, 3]"
ggM20,0,15,Experiment,True,True,0.06982302800315665,"[0, 3]"
ggM20,0,16,Experiment,False,False,0.05852448700170498,"[-1, -1]"
ggM20,0,17,Experiment,False,False,0.10214664100203663,"[-1, -1]"
ggM20,0,18,Experiment,True,True,0.042247031997248996,"[1, 3]"
ggM20,0,19,Experiment,True,True,0.021798132002004422,"[0, 4]"
ggM20,0,20,Experiment,False,False,0.04296654599602334,"[-1, -1]"
ggM20,0,21,Experiment,True,True,0.06683084600081202,"[4, 3]"
ggM20,0,22,Experiment,False,False,0.08674489200348035,"[-1, -1]"
ggM20,0,23,Experiment,True,True,0.04224743600207148,"[2, 1]"
ggM20,0,24,Experiment,True,True,0.11155651300214231,"[2, 2]"
ggM20,0,25,Experiment,False,False,1.688885150004353,"[-1, -1]"
ggM20,0,26,Experiment,True,True,0.22153556100238347,"[1, 0]"
ggM20,0,27,Experiment,True,True,0.06213156200101366,"[3, 4]"
ggM20,0,28,Experiment,False,False,0.1629902599961497,"[-1, -1]"
ggM20,0,29,Experiment,True,True,0.059567611999227665,"[2, 2]"
ggM20,0,30,Experiment,True,True,0.16766716300480766,"[4, 2]"
ggM20,0,31,Experiment,False,False,0.043497200997080654,"[-1, -1]"
ggM20,0,32,Experiment,False,False,0.17752066400134936,"[-1, -1]"
ggM20,0,33,Experiment,True,True,0.08924470799684059,"[3, 0]"
ggM20,0,34,Experiment,False,False,0.38620554299996,"[-1, -1]"
ggM20,0,35,Experiment,True,True,0.058519124999293126,"[0, 0]"
ggM20,0,36,Experiment,True,True,0.03945974400267005,"[4, 4]"
ggM20,0,37,Experiment,False,False,0.06050270400010049,"[-1, -1]"
ggM20,0,38,Experiment,False,False,0.06368486299470533,"[-1, -1]"
ggM20,0,39,Experiment,False,False,0.09280381700227736,"[-1, -1]"
ggM20,0,40,Experiment,False,False,0.10282363399892347,"[-1, -1]"
ggM20,0,41,Experiment,False,False,0.4878235530050006,"[-1, -1]"
ggM20,0,42,Experiment,True,True,0.04801030099770287,"[2, 1]"
ggM20,0,43,Experiment,False,False,0.04179256500356132,"[-1, -1]"
ggM20,0,44,Experiment,False,False,0.0670785890033585,"[-1, -1]"
ggM20,0,45,Experiment,False,False,0.10569551400112687,"[-1, -1]"
ggM20,0,46,Experiment,False,False,0.09775408899440663,"[-1, -1]"
