PART_ID,Block number,Trial_no,Session type,Correctness,Target present,Reaction time,Target position
hhM20,0,1,Training,True,True,0.8185864619445056,"[1, 4]"
hhM20,0,2,Training,True,True,0.6076506039826199,"[2, 3]"
hhM20,0,3,Training,True,True,0.577143118949607,"[2, 0]"
hhM20,0,4,Training,False,False,0.6605993499979377,"[-1, -1]"
hhM20,0,5,Training,False,False,0.592707157949917,"[-1, -1]"
hhM20,0,6,Training,False,False,0.5704694020096213,"[-1, -1]"
hhM20,0,7,Training,True,True,0.8901331649394706,"[0, 1]"
hhM20,0,8,Training,True,True,0.8092939740745351,"[1, 4]"
hhM20,0,9,Training,True,True,0.7605505030369386,"[4, 3]"
hhM20,0,10,Training,False,False,0.6898324510548264,"[-1, -1]"
hhM20,0,1,Experiment,True,True,0.48908195889089257,"[1, 1]"
hhM20,0,2,Experiment,False,False,0.5946749810827896,"[-1, -1]"
hhM20,0,3,Experiment,False,False,0.39364713395480067,"[-1, -1]"
hhM20,0,4,Experiment,True,True,0.45992521196603775,"[3, 0]"
hhM20,0,5,Experiment,True,True,0.4842266420600936,"[2, 3]"
hhM20,0,6,Experiment,False,False,0.6268415260128677,"[-1, -1]"
hhM20,0,7,Experiment,True,True,0.49304542399477214,"[0, 3]"
hhM20,0,8,Experiment,True,True,0.5419769280124456,"[4, 3]"
hhM20,0,9,Experiment,False,False,0.5067338619846851,"[-1, -1]"
hhM20,0,10,Experiment,True,True,0.41084470599889755,"[1, 1]"
hhM20,0,11,Experiment,True,True,0.45409924699924886,"[2, 2]"
hhM20,0,12,Experiment,True,True,0.6775869149714708,"[4, 2]"
hhM20,0,13,Experiment,True,True,0.5937129840021953,"[1, 2]"
hhM20,0,14,Experiment,False,False,0.5367478389525786,"[-1, -1]"
hhM20,0,15,Experiment,True,True,0.30777968699112535,"[1, 0]"
hhM20,0,16,Experiment,True,True,0.8239199280506,"[1, 0]"
hhM20,0,17,Experiment,True,True,0.3568155560642481,"[4, 3]"
hhM20,0,18,Experiment,True,True,0.14493760105688125,"[2, 3]"
hhM20,0,19,Experiment,False,False,0.25726824603043497,"[-1, -1]"
hhM20,0,20,Experiment,True,True,0.40677113796118647,"[1, 2]"
hhM20,0,21,Experiment,True,True,0.2773433179827407,"[3, 4]"
hhM20,0,22,Experiment,False,False,1.0938809500075877,"[-1, -1]"
hhM20,0,23,Experiment,False,False,0.4924148990539834,"[-1, -1]"
hhM20,0,24,Experiment,True,True,0.3269488199148327,"[3, 2]"
hhM20,0,25,Experiment,True,True,0.5265602170256898,"[0, 0]"
hhM20,0,26,Experiment,True,True,0.46886518609244376,"[4, 2]"
hhM20,0,27,Experiment,True,True,0.2266264270292595,"[2, 1]"
hhM20,0,28,Experiment,False,False,0.25930316699668765,"[-1, -1]"
hhM20,0,29,Experiment,True,True,0.5226114200195298,"[0, 1]"
hhM20,0,30,Experiment,True,True,0.39041665697004646,"[0, 3]"
hhM20,0,31,Experiment,True,True,0.1542124169645831,"[4, 3]"
hhM20,0,32,Experiment,True,True,0.10132905596401542,"[3, 0]"
hhM20,0,33,Experiment,True,True,0.09365662198979408,"[3, 4]"
hhM20,0,34,Experiment,True,True,0.12721066002268344,"[0, 3]"
hhM20,0,35,Experiment,False,False,0.09184365498367697,"[-1, -1]"
hhM20,0,36,Experiment,True,True,0.1081013159127906,"[2, 0]"
hhM20,0,37,Experiment,True,True,0.08435443707276136,"[1, 2]"
hhM20,0,38,Experiment,True,True,0.12328436505049467,"[0, 2]"
hhM20,0,39,Experiment,True,True,0.09481272206176072,"[1, 2]"
hhM20,0,40,Experiment,True,True,0.11078511900268495,"[0, 3]"
hhM20,0,41,Experiment,True,True,0.07779637607745826,"[2, 1]"
hhM20,0,42,Experiment,False,False,0.09319449297618121,"[-1, -1]"
hhM20,0,43,Experiment,True,True,0.09263870096765459,"[4, 2]"
hhM20,0,44,Experiment,True,True,0.08946252299938351,"[4, 3]"
